date,BTC_Price,BTC_network_hashrate,Difficulty_BTC,Estimated_TX_Volume_USD_BTC,Gold_in_USD,Litecoin_Price,DJI
05/04/2017,1134.14,3104629.598,5.00E+11,341916041.5,1245.8,8.25,20648.15039
30/03/2017,1042.21,3263345.893,4.76E+11,268053545.3,1248.8,4.18,20728.49023
28/03/2017,1044.58,3121461.289,4.76E+11,314065026.1,1257.25,4.07,20701.5
22/03/2017,1120.65,3357935.629,4.76E+11,338645232.7,1249.05,3.99,20661.30078
21/03/2017,1055.36,3216051.025,4.76E+11,302711967,1241.6,4.04,20668.00977
16/03/2017,1251.33,3252505.602,4.61E+11,321158674,1229.35,4.15,20934.55078
14/03/2017,1232.16,3321220.509,4.61E+11,305232655,1204.6,4.17,20837.36914
10/03/2017,1189.36,3389935.416,4.61E+11,264212241,1202.65,3.83,20902.98047
09/03/2017,1150.35,3252505.602,4.61E+11,301922502.9,1206.55,3.77,20858.18945
07/03/2017,1273.21,3252505.602,4.61E+11,292399611.8,1216.65,3.89,20924.75977
06/03/2017,1267.47,3367030.447,4.61E+11,220204063.4,1230.95,3.87,20954.33984
02/03/2017,1224.68,3155225.442,4.41E+11,288085091.7,1238.1,3.8,21002.9707
01/03/2017,1180.04,3352427.032,4.41E+11,254779003.3,1240.4,3.77,21115.55078
28/02/2017,1180.72,3155225.442,4.41E+11,263969347.8,1255.6,3.8,20812.24023
24/02/2017,1172.71,3286693.168,4.41E+11,329524919.7,1253.65,3.83,20821.75977
23/02/2017,1117.27,3045669.003,4.41E+11,223493550.8,1247.9,3.8,20810.32031
22/02/2017,1114.8,3023757.715,4.41E+11,239455904.8,1236.65,3.79,20775.59961
21/02/2017,1079.28,3242870.593,4.41E+11,194658608.6,1233.2,3.76,20743
17/02/2017,1026.12,3189904.332,4.22E+11,216881376.3,1241.95,3.78,20624.05078
16/02/2017,1007.65,2917083.567,4.22E+11,202631991.9,1240.55,3.8,20619.76953
14/02/2017,991.73,3420752.672,4.22E+11,193290195,1230.75,3.72,20504.41016
13/02/2017,998.89,2959055.992,4.22E+11,116833030.1,1222.25,3.77,20412.16016
09/02/2017,1064.7,3063987.056,4.22E+11,268446935.6,1236.8,4.03,20172.40039
08/02/2017,1062.32,3168918.119,4.22E+11,265069292,1242.1,4.05,20054.33984
07/02/2017,1040.14,2623276.589,4.22E+11,218667131.4,1231,4.05,20090.28906
06/02/2017,1028.4,3336807.821,4.22E+11,189360700.5,1226.75,4.06,20052.41992
03/02/2017,1011.46,3066886.627,3.93E+11,208080409.8,1215.2,4.08,20071.46094
01/02/2017,970.94,2832474.91,3.93E+11,219553619.8,1203.65,4.08,19890.93945
31/01/2017,920.96,2852009.22,3.93E+11,147934759.6,1212.8,4.02,19864.08984
30/01/2017,920.15,3262229.724,3.93E+11,130997412.2,1192.8,3.86,19971.13086
27/01/2017,918.36,3066886.627,3.93E+11,230425627.1,1184.85,3.84,20093.7793
26/01/2017,902.4,2930146.459,3.93E+11,271755757.1,1189.7,3.71,20100.91016
25/01/2017,891.92,2910612.149,3.93E+11,234204104,1195,3.79,20068.50977
24/01/2017,910.68,2715269.052,3.93E+11,198400469.2,1216.8,3.84,19912.71094
23/01/2017,925.5,3398969.892,3.39E+11,210976459,1212.85,3.86,19799.84961
20/01/2017,898.17,2914045.251,3.37E+11,234505943.3,1200.55,3.86,19827.25
19/01/2017,888.34,2528855.36,3.37E+11,259176379.5,1196.05,3.84,19732.40039
18/01/2017,909.37,2646087.06,3.37E+11,292157921.6,1214.75,3.94,19804.7207
17/01/2017,830.95,2830308.31,3.37E+11,207038818.9,1216.05,3.91,19826.76953
13/01/2017,803.74,2897297.86,3.37E+11,317369300.9,1190.35,3.95,19885.73047
11/01/2017,908.11,2679581.83,3.19E+11,284257957.8,1178.55,4.6,19954.2793
10/01/2017,902.44,2147763.14,3.18E+11,267769180.3,1189.5,4.3,19855.5293
09/01/2017,913.24,2637326.79,3.18E+11,211475099,1178.5,4,19887.38086
04/01/2017,1044.4,2589949.67,3.18E+11,340688236.3,1164.25,4.63,19942.16016
03/01/2017,1021.6,2526780.16,3.18E+11,284471581.6,1151,4.66,19881.75977
30/12/2016,972.53,2368856.4,3.18E+11,309246380.7,1145.9,4.56,19762.59961
29/12/2016,975.13,2589949.67,3.12E+11,326666676.6,1145.9,4.58,19819.7793
28/12/2016,934.83,2405181.75,3.10E+11,322486430.1,1134.6,4.49,19833.67969
27/12/2016,908.35,2189332.11,3.10E+11,243946016.5,1131.35,4.37,19945.03906
23/12/2016,864.89,2451435.25,3.10E+11,331099340,1131.35,3.72,19933.81055
22/12/2016,834.18,2451435.25,3.10E+11,321107915.4,1131.35,3.67,19918.88086
21/12/2016,800.64,2127660.78,3.10E+11,245012593.5,1133.65,3.66,19941.96094
20/12/2016,792.25,2343510.43,3.10E+11,221887382.6,1125.7,3.66,19974.61914
19/12/2016,790.69,2173914.28,3.10E+11,155830419.3,1136.25,3.68,19883.06055
16/12/2016,778.96,1958064.63,3.08E+11,221944104.7,1131.6,3.63,19843.41016
15/12/2016,780.07,1981473.29,2.87E+11,211719980.8,1126.95,3.61,19852.24023
14/12/2016,780.01,2537426.23,2.87E+11,200234698.5,1162.25,3.66,19792.5293
13/12/2016,780.65,2223811.75,2.87E+11,214657678,1158.55,3.67,19911.21094
12/12/2016,770.04,2223811.75,2.87E+11,214657678,1156.1,3.64,19796.42969
09/12/2016,769.94,2238066.96,2.87E+11,217843730.6,1163.6,3.69,19756.84961
08/12/2016,768.08,2494660.62,2.87E+11,225933753.5,1171.05,3.6,19614.81055
07/12/2016,764.21,2138280.53,2.87E+11,219286012.9,1177.65,3.54,19549.61914
06/12/2016,758.72,2166790.94,2.87E+11,208779869.8,1172.5,3.49,19251.7793
05/12/2016,773.39,2109770.13,2.87E+11,100618181.3,1162.2,3.88,19216.24023
02/12/2016,757.54,2045226.33,2.82E+11,195432627.8,1173.5,3.92,19170.41992
01/12/2016,746.05,1989192.73,2.82E+11,204169344,1161.85,3.91,19191.92969
30/11/2016,736.28,2115268.33,2.82E+11,224707688.3,1178.1,3.89,19123.58008
29/11/2016,736.33,2297377.53,2.82E+11,198614920.8,1186.55,3.89,19121.59961
28/11/2016,732.48,2017209.53,2.82E+11,129855387.8,1187,3.9,19097.90039
25/11/2016,740.44,2297377.53,2.82E+11,252699561,1187.7,3.91,19152.14063
23/11/2016,751.74,1877125.54,2.82E+11,223163107.2,1185.35,3.97,19083.17969
22/11/2016,739.64,1961175.94,2.82E+11,193256336.4,1212.25,3.95,19023.86914
21/11/2016,731.27,1807083.54,2.82E+11,128523869.5,1214.25,3.93,18956.68945
18/11/2016,740.71,2012500.86,2.55E+11,249776321.2,1211,3.96,18867.92969
17/11/2016,744.88,2177044.96,2.55E+11,270653443.7,1226.75,4.06,18903.82031
16/11/2016,711.17,1974529.15,2.55E+11,190622060.2,1229.2,3.9,18868.14063
15/11/2016,705.79,2177044.96,2.55E+11,168532361.9,1226.95,3.89,18923.06055
14/11/2016,702,1809985.05,2.55E+11,124728414.9,1213.6,3.88,18868.68945
11/11/2016,715.55,2126416.01,2.55E+11,187613066,1236.45,3.84,18847.66016
10/11/2016,722.84,1860614.01,2.55E+11,289544177.6,1267.5,3.86,18807.88086
09/11/2016,709.83,2139073.24,2.55E+11,209569075.1,1281.4,3.85,18589.68945
08/11/2016,703.09,1847956.77,2.55E+11,190875055,1282.35,3.84,18332.74023
07/11/2016,710.74,1949214.67,2.55E+11,169183042.9,1283.05,3.89,18259.59961
04/11/2016,689.12,1966759.3,2.54E+11,204145450.3,1302.8,3.86,17888.2793
03/11/2016,742.35,1676788.37,2.54E+11,169116165.3,1301,4.11,17930.66992
02/11/2016,730.07,1815470.12,2.54E+11,211281401.1,1303.75,4.09,17959.64063
01/11/2016,701.34,1853292.41,2.54E+11,207351752.7,1288.45,4,18037.09961
31/10/2016,702.64,2130655.91,2.54E+11,179744501.4,1272,4.04,18142.41992
28/10/2016,688,2042403.89,2.54E+11,283234072.6,1273,4.04,18161.18945
27/10/2016,678.21,1752432.96,2.54E+11,176802053,1266.25,3.96,18169.67969
26/10/2016,657.68,1752432.96,2.54E+11,195708742.5,1270.5,3.91,18199.33008
25/10/2016,654,1802862.69,2.54E+11,207336575.3,1269.4,3.87,18169.26953
24/10/2016,657.16,1815470.12,2.54E+11,104494840.8,1265.55,3.92,18223.0293
21/10/2016,630.83,1722065.56,2.59E+11,183925044.7,1266.05,3.79,18145.71094
20/10/2016,630.66,1619255.67,2.59E+11,154515407.9,1271.65,3.81,18162.34961
19/10/2016,638.13,1991941.5,2.59E+11,216932535.9,1269.05,3.85,18202.61914
18/10/2016,639.41,1606404.44,2.59E+11,162800543.7,1258.2,3.95,18161.93945
17/10/2016,641.82,1670660.61,2.59E+11,118023531.2,1254.8,3.89,18086.40039
14/10/2016,637.01,1644958.14,2.59E+11,165694238.8,1251.75,3.91,18138.38086
13/10/2016,636.03,1863429.15,2.59E+11,291240400.9,1261.05,3.75,18098.93945
12/10/2016,640.87,1786321.73,2.59E+11,194960089.5,1256.5,3.82,18144.19922
11/10/2016,619.24,1606404.44,2.59E+11,147286256.4,1253.45,3.8,18128.66016
10/10/2016,616.82,2056197.68,2.59E+11,118494680.5,1259.5,3.82,18329.03906
07/10/2016,612.61,1930626.53,2.41E+11,147862058.6,1258.75,3.84,18240.49023
